url,headline,author,date
https://www.theverge.com/2023/3/28/23659691/disney-metaverse-job-cuts-eliminated,Disney reportedly eliminates metaverse division in first round of layoffs,JON PORTER,Mar 28 2023 GMT+05:30
https://www.theverge.com/2023/3/27/23659326/apple-music-classical-available-download-app-store-ios,Apple Music Classical is now available from the App Store,JAY PETERS,8:57 AM GMT+5:30
https://www.theverge.com/2023/3/27/23659351/elon-musk-twitter-for-you-verified-accounts-polls,Elon Musk says Twitter’s For You page will only recommend verified accounts,MITCHELL CLARK  AND JAY PETERS,5:59 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658630/diablo-iv-beta-impressions-pc-ps5,The Diablo IV beta let players do a lot — but not pet the dog,ASH PARRISH,3:17 AM GMT+5:30
https://www.theverge.com/2023/3/27/23659109/binance-cftc-vpn-signal-notes,"Binance really loved telling people to use VPNs, allegedly",ELIZABETH LOPATTO,3:08 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658961/philips-hue-matter-bridge-update-delayed,Philips Hue is delaying its Matter update,JENNIFER PATTISON TUOHY,3:06 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658863/arc-browser-iphone-ios-companion-app-mac,"Arc is coming to iPhone, but it won’t replace Safari yet, says CEO",MITCHELL CLARK,2:43 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658721/uber-eats-delisting-delivery-only-restaurants-ghost-kitchens,Uber Eats is shutting down thousands of virtual restaurants to make the app less spammy,EMMA ROTH,2:00 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658874/the-legend-of-zelda-tears-of-the-kingdom-news-announcements,The Legend of Zelda: Tears of the Kingdom — all the latest on Nintendo’s huge sequel,JAY PETERS,1:35 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658839/killers-of-the-flower-moon-martin-scorsese-movie-theater-apple-tv-plus,Apple is bringing Martin Scorsese’s next movie to theaters before streaming,ANDREW WEBSTER,1:07 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658449/spyware-ban-us-government-biden-executive-order,President Joe Biden says US can’t buy spyware that other countries have used against it,MITCHELL CLARK,12:51 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658716/ubisoft-forward-live-los-angeles-show-e3-2023,Ubisoft bails on E3 in favor of its own show in Los Angeles,JAY PETERS,12:23 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658536/multiversus-open-beta-shutting-2024-launch,"MultiVersus’ open beta is shutting down, but the game is set to return in 2024",JAY PETERS,MAR 27
https://www.theverge.com/2023/3/27/23658317/ios-16-4-new-emoji-safari-web-push-notifications-voice-isolation,"iOS 16.4 is here, and it brings new emoji like a moose and goose to your iPhone",JAY PETERS,MAR 27
https://www.theverge.com/2023/3/27/23658392/final-fantasy-xiv-stormblood-free-starter-edition,The worst Final Fantasy XIV expansion is now free for a limited time,ASH PARRISH,MAR 27
https://www.theverge.com/2023/3/27/23658385/levis-ai-generated-clothing-model-diversity-denim,Levi’s will test AI-generated clothing models to ‘increase diversity’,JESS WEATHERBED,MAR 27
https://www.theverge.com/2023/3/27/23658429/disney-layoffs-first-round-7000,Disney’s first of three rounds of layoffs will start this week,JAY PETERS,MAR 27
https://www.theverge.com/23654936/aqara-g4-video-doorbell-review,Aqara Video Doorbell G4 review: this battery-powered buzzer needs to go back to basics,JENNIFER PATTISON TUOHY,MAR 27
https://www.theverge.com/2023/3/27/23658414/biosphere-first-teaser-trailer,Biosphere’s first trailer turns the end of the world into a bromance,ANDREW WEBSTER,MAR 27
https://www.theverge.com/2023/3/27/23658314/binance-changpeng-zhao-crypto-trading-lawsuit-cftc,Feds sue crypto giant Binance and founder Changpeng Zhao,EMMA ROTH,MAR 27
https://www.theverge.com/23658252/tesla-supercharger-non-tesla-ev-how-to-charge,How to charge your non-Tesla EV at a Tesla Supercharger,PATRICK GEORGE,MAR 27
https://www.theverge.com/2023/3/27/23655477/hisense-u8h-microsoft-365-target-bogo-samsung-980-ssd-eero-deal-sale,Hisense’s bright yet affordable U8H Mini LED TV is $100 off,ANTONIO G. DI BENEDETTO,MAR 27
https://www.theverge.com/2023/3/27/23657976/microsoft-teams-avatars-feature-public-preview,Microsoft Teams now lets you transform into a 3D avatar during meetings,TOM WARREN,MAR 27
https://www.theverge.com/2023/3/27/23657938/microsoft-teams-overhaul-performance-improvements-ui-design-changes-features,The new Microsoft Teams is here with big performance improvements and UI changes,TOM WARREN,MAR 27
https://www.theverge.com/2023/3/27/23624186/nintendo-switch-oled-deal-sale,The Nintendo Switch OLED is on sale at Woot,SHEENA VASANI,MAR 27
https://www.theverge.com/23653141/tiktok-ban-bytedance-congress-hearing-first-amendment-open-internet,The TikTok ban is a betrayal of the open internet,ADI ROBERTSON,MAR 27
https://www.theverge.com/2023/3/27/23658177/legend-of-zelda-tears-of-the-kingdom-nintendo-direct-gameplay,Nintendo is showing off ‘roughly 10 minutes’ of Tears of the Kingdom gameplay on March 28th,ANDREW WEBSTER,MAR 27
https://www.theverge.com/2023/3/27/23658043/lucid-air-recall-contactor-motor-power-loss-ev,Lucid Motors recalls Lucid Air sedan for a defect that could cause a loss of power,ANDREW J. HAWKINS,MAR 27
https://www.theverge.com/2023/3/28/23659670/dolphin-the-fantastic-gamecube-and-wii-emulator-is-coming-to-steam,Dolphin The Fantastic Gamecube And Wii Emulator Is Coming To Steam,SEAN HOLLISTER,Mar 28 2023 GMT+05:30
https://www.theverge.com/2023/3/27/23659319/important-tesla-cybertruck-windshield-wiper-update,Important Tesla Cybertruck Windshield Wiper Update,ANDREW J. HAWKINS,5:15 AM GMT+5:30
https://www.theverge.com/2023/3/27/23659059/peacocks-latest-streaming-addition-morning-cable-news-shows,Peacocks Latest Streaming Addition Morning Cable News Shows,RICHARD LAWLER,2:30 AM GMT+5:30
https://www.theverge.com/2023/3/27/23659079/lyfts-ceo-and-president-are-stepping-down,Lyfts Ceo And President Are Stepping Down,EMMA ROTH,2:26 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658937/get-ready-for-tomorrows-tears-of-the-kingdom-showcase-by-watching-all-five-previous-trailers,Get Ready For Tomorrows Tears Of The Kingdom Showcase By Watching All Five Previous Trailers,JAY PETERS,1:45 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658892/hope-you-downloaded-your-trophies-because-fitbit-challenges-are-no-more,Hope You Downloaded Your Trophies Because Fitbit Challenges Are No More,VICTORIA SONG,1:14 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658759/denied-care-by-an-algorithm,Denied Care By An Algorithm,ELIZABETH LOPATTO,12:12 AM GMT+5:30
https://www.theverge.com/2023/3/27/23658579/amazon-astro-robot-price-hike,Amazon Astro Robot Price Hike,SEAN HOLLISTER,MAR 27
https://www.theverge.com/2023/3/27/23658555/super-mario-gross,Super Mario Gross,ANDREW WEBSTER,MAR 27
